KILIP	-29.67833	-58.88500	A428-Z110-UM400-UL793-SID CRR SIS-STAR CRR SIS
KILOS	-40.24972	-45.00000	UL211F
KIMID	-39.37278	-63.39778	T657-UT657-SID BCA-STAR BCA
KIMIK	-29.53444	-56.89139	UM402
KIMIS	-36.89972	-67.02833	W65-UZ114
KOLGO	-31.30083	-58.00000	N785
KOLNA	-26.14250	-54.09833	UL216-R563-SID IGU-STAR IGU-TMA FOZ
KOLNO	-40.94417	-62.64306	IAC VIE
KOLVA	-42.70917	-64.99389	IAC DRY-SID DRY
KOMVI	-40.35028	-69.15556	W30-UW30-UT654-T654
KONLO	-38.79889	-62.10889	IAC BCA
KONRI	-24.11667	-67.53333	UL550
KOPLO	-28.91500	-65.80000	SID CAT
KOPRO	-34.74194	-58.63944	IAC EZE
KOPSI	-31.93250	-65.99583	UL531-UT653-UZ105
KORGA	-40.08500	-61.46194	W33-UW33
KORSI	-27.61611	-59.24056	IAC SIS-SID CRR SIS-STAR SIS
KORSO	-26.49472	-61.27639	UN775
KORTA	-30.69306	-57.78722	N785-UN785
KOSDU	-33.36611	-66.36917	IAC UIS
KOSGO	-40.08500	-71.52417	STAR CHP-IAC CHP
KOSNO	-32.43222	-63.52806	UT653-UW15
KOTNI	-34.28889	-69.03944	M424-W44-UW44-UZ108-UM424
KOTOG	-38.45083	-68.18361	W37-STAR NEU-SID NEU-TMA NEU
KOTOL	-33.23750	-63.69417	W10
KOTON	-49.62667	-65.94944	UT108
KOTUD	-31.59583	-68.11972	STAR JUA
